Reported Date,Resolved Date,Incident,Incident Start Time,Incident End Time,MTTR (hh:mm),Business Platform - Area of Cause,Product Portfolio -Area of cause,Impacted Business Platform,Impacted Product portfolio,Impacted business process,Inc Category,Description,Organisation,Team ,Financial Impact,Application/Service Impacted?,RC Status,Problem Record,Background,Next Steps / Solution,Initial RCA Date,Final RCA Date (Once the cause is fully known),Solution Identified Date,Planned Solution Deployment  Date,Actual Solution Deployment  Date,Does an alert already exist? Is configuration required/applicable?,Was the incident identified through the alert?,Does a  workaround exist ? Was it used?,Is Permanent Fix Deployed?,RC Category,Issue caused due to CR or WO,Root Cause,Reference CR/WO,Reason for failed change/issue,Risk ID/ Backlog id,Closed Date,Closed Month,Closed Year,Problem manager,Open/Closed,MIM,Problem actions - Added?  Y/N/NA,Year,Month #,Month Name,Current day,Ageing,Aging Bucket
12/10/2024,12/13/2024,90484323,09:00,16:00,79:00,C&H and Intl,C&H & Intl Supply Chain,Customer Channels,Platform & Store Ops ,Manage Payment & Content Customer.Com,SI,Stores receiving C&C parcels for future collection dates causing capacity constraint,Customer,WMS,No Financial Impact,C&C orders,RC identified,70943,"Stores reported that they are receiving C&C orders much earlier than the expected collection date. Stores were unable to book in parcels due to space constraints and the collections slots for 104 stores were disabled between 10/12 and 13/12 on the website resulting in poor customer experience. The initial root cause has been attributed to an ""order hold rule"" in WMS, which references the ship-by-date in OMS (Sterling). As an interim fix, the “order hold rule” for Donington and Ollerton DC’s was amended to mitigate the impact to stores.",,12/10/2024,,,,,"No, Yes",No,"Yes, Yes",Yes,Software Defects/Limitation,N/A,"The Click & Collect (C&C) hold rule is designed to keep small store orders on hold until the ""Ship By Date"" interfaced from the OMS system. However, OMS has confirmed that this date should not be considered for C&C orders because it represents the earliest ""ship by date,"" causing orders to be released much earlier than their delivery date. ",N/A,N/A,N/A,3/6/2025,March,2025,Balaji,Closed,MIM,Y,2024,12,December,9/16/2025,280,>60
12/5/2024,12/20/2024,90474650,13:17,9:00,355:00,Customer Channels,Customer Engagement,Customer channels,Selling Experience,Manage Payment & Content Customer.Com,MI,"Customers encountering ""Sorry, Something Went Wrong"" errors on Customer.com website",Next Auth,NA,"£200,000.00",.Com Website,RC identified,70863,"Some customers are experiencing “Sorry, Something Went Wrong” errors whilst browsing on the Customer.com website.  This is impacting ~20k unique customers daily from early October resulting in a poor customer experience and an estimated potential revenue loss of £80k over a period of a month.  The initial root cause has been attributed to an issue in a third-party library that manages customer authentication. The product teams have identified a solution to introduce a retry mechanism for failed requests to mitigate impact to customer browsing journey. The solution has been tested environment and deployment is being planned.                                                                               ",,12/5/2024,,,,,"No, Yes",No,,No,External Dependencies,N/A,"The root cause has been attributed to authentication failures due to NextAuth’s session retrieval logic, which aborts API Auth requests on page navigations resulting in empty sessions and sign-in loops, leading to error pages. The issue is more frequent in Safari and is linked to deprecated API Auth provider usage in older NextAuth versions. 
 ",N/A,N/A,N/A,,,,Saloni,Open,.Com SM,Y,2024,12,December,9/16/2025,285,>60
12/4/2024,12/4/2024,90465705,14:00,19:11,05:11,GTS,Enterprise Technology Platform, C&H and Intl,C&H and Intl Supply Chain,Manage Pick & Allocation of Stock and Orders (Castle Donington),SI,Castle Donington - Payment Initiation Messages not processing in MULE,TCS,Linux,"£10,800",Packing operations,RC unknown,70801,"Alerting indicated that Demand Notification, Order Fulfilment, ASNs & Goods Receipts messages were not processed into WMS at Donington, affecting 4.6k next-day delivery (NDD) orders. This impacted the pack capability loss of 18k singles & productivity loss of 308 hours incurring a financial loss of £10,800.  Order proposition was moved to +24 hours to mitigate customer miss promises (CFR - 0.52%). A workaround was implemented to mitigate the impact to NDD orders by 16:30. Initial root cause is attributed to a high number of uninterruptable processes were seen and the cause of these is being investigated along with Redhat. Services were restored after the Mule servers were restarted at 19:11.",,12/4/2024,,,,,"Yes, No",Yes,"Yes, Yes",No,Root Cause Undetermined/Still Under Investigation,No,"The root cause was attributed to uninterruptable sleep processes within the mule application resulting in no messages processing from mule to WMS. However, the actual reason for the uninterruptable process remains inconclusive.",NA,NA,NA,12/25/2024,December,2024,Pavithra,Closed,MIM,,2024,12,December,9/16/2025,286,>60
12/4/2024,12/5/2024,90453291,12:02,18:21,30:19,Foods,Food Supply Chain,Foods,Foods Supply Chain,Manage Allocation of Food Stock,KI,High number of Open POs in Relex impacting Foods Store Stock Availability,Customer,N/A,No Financial Impact,Stock availability at stores,RC identified,70914,"Approximately 700 product locations had reduced stock allocations in RELEX, impacting the stock availability across some stores. Investigations revealed around 177k open purchase orders in RELEX due to potential operational issues in WMS (Foods NDCs) and CSSM (Stores). In WMS, the foods NDCs were advised to systemically zero ship the already picked containers, and in CSSM, a decision was taken to allow the stock in transit to continue to auto-clear within 7 days (as BAU) for ambient and 14 days for frozen products. In addition, an amendment was carried out to reduce the visibility of stock in transit volume from 7 days to 3 days was carried out in RELEX to minimise the impact on reordering. Further actions will be agreed between Food Supply Chain Business and D&T to monitor the stock in transit positions.",,12/4/2024,,,,,"No,No",,"Yes,Yes",No,Operational Process Issues,,Various operational issues being handled by business teams,N/A,N/A,TBC,1/29/2025,January,2025,Gokul,Closed,MIM,Y,2024,12,December,9/16/2025,286,>60
12/2/2024,12/2/2024,90458656,03:40,8:23,04:43,Foods,Food Supply Chain,"Food, Data","Food Supply chain, Data",Manage Allocation of Food Stock,SI,Delay in Foods Relex Overnight Batch impacting Foods Critical Flows,Relex,NA,"£9,500.00","Food Supplier orders, NDC allocations, RDC allocations, Frozen allocations, Food reporting",RC identified,70694,"Food supplier orders, NDC allocations were delayed due to an issue with the Relex overnight batch.  This impacted the supplier orders, 28 day order plan, picking operations at Bradford & Milton Keynes DCs,  Foods Compliance reports, FLIC and OTS reports. A contingency plan has been invoked to generate the NDC allocations which is currently in progress. Foods supplier orders were sent by 06:55 and 28 day order plan was sent to suppliers by 07:08. The root cause has been attributed to inflated data volume due to a combination of Delivery Flow Smoothing capability and user updates in Relex, however, we await details from Relex.",,12/2/2024,,,,,"Yes, No",Yes,"Yes, Yes",No,External Dependencies,No,"The root cause has been attributed to inflated data volume due to a combination of Delivery Flow Smoothing capability and user updates in Relex, however, we await details from Relex.",N/A,N/A,"FOATR-26670, FOATR-6136, FOATR-21975",2/20/2025,February,2025,Kavitha,Closed,MIM,Y,2024,12,December,9/16/2025,288,>60
12/1/2024,12/1/2024,90457701,00:04,6:02,05:58,Foods,Food Supply Chain,Foods,Food Supply chain,Manage Allocation of Food Stock,KI,Delay in Foods Relex Overnight Batch impacting FFO,Relex,NA,No Financial impact,Food Supplier orders,RC identified,70711,"Foods supplier orders were delayed due to an issue with the Relex overnight batch, however, no impact to RDC and NDC allocations. The batch was recovered by 23:26 and the Foods supplier orders were sent by 06:02 (beyond the target completion time of 05:15). The root cause was attributed to the processing of historical data (1.4M records) which was added to resolve a separate issue delaying the weekly Relex batch.",,12/1/2024,,,,,"Yes, No",Yes,"Yes, No",No,External Dependencies,No,The root cause was attributed to the processing of historical data (1.4M records) which was added to resolve a separate issue delaying the weekly Relex batch.,N/A,N/A,N/A,2/20/2025,February,2024,Naveen,Closed,MIM,Y,2024,12,December,9/16/2025,289,>60
11/30/2024,11/30/2024,90463097,03:30,3:50,00:20,Customer Channels,Service Experience,Customer Channels,Service Experience,Others,SI,Digital Receipts sent to customers for historical transactions,Customer,DROS (Digital Receipts Orchestration System) ,No Financial impact,Poor customer experience,RC identified,70680,"Around 60K e-receipts were sent to customers for historical transactions resulting in poor customer experience and increase in calls to the customer service centre, however, payments were not taken from the customers. The root cause was attributed to an API issue within vendor Yocuda infrastructure on 29/11 who advised to reprocess the ~27k failed messages in DROS (Digital Receipts Orchestration system). Product team had inadvertently reprocessed all the messages from the DROS exception queue resulting in sending the historic e-receipts to the customers. ",,11/30/2024,,,,,"No, Yes",No,"No, No",No,Operational Process Issues,No,The root cause was attributed to an inadvertent processing (human error) of all digital receipt messages from the DROS (Digital Receipts Orchestration System) exception (non-retry) queue during a recovery action following an API issue within Yocuda resulting in sending 60k messages to customers.,N/A,N/A,RSS-3284,1/7/2025,January,2025,Saloni,Closed,MIM,,2024,11,November,9/16/2025,290,>60
11/28/2024,11/28/2024,90451656,07:24,8:18,00:54,GTS,Enterprise Technology Platform,Customer Channels,Service Experience,Manage Payment & Point of Sales in store,SI,Store tills offline across the estate,TCS,Network,£440.00,Till payments,RC identified,70715,"Through alerting and store shouts, it was identified that store tills were offline between 07:24 and 08:18. Customers were unable to redeem gift cards and credit vouchers in store impacting 73 gift card transactions incurring a financial loss of ~£440, however, payments were unaffected. The root cause was attributed to a known firmware bug (memory leak) on the F5 network load balancer in Stockley Park resulting in an unexpected reboot of the active load balancer. Although services were failed over, configuration sync issues were identified on the standby load balancer which were manually synced to restore the services. A proactive restart of the Stockley F5 load balancer was performed to safeguard instore trading during the Golden Quarter. ",,11/28/2024,,,,,"Yes, No",Yes,"Yes, Yes",No,Software Defects/Limitation,No,"The root cause was identified as a memory leak caused by a known firmware bug on the Stockley Park F5 load balancer, leading to an unexpected reboot of the active load balancer followed by a configuration sync issues after the failover on the standby load balancer.
A case was raised with F5, and they recommended upgrading the firmware version. However, this upgrade will not be performed during the Golden Quarter as this incurs an outage across the estate.",N/A,N/A,NA,3/13/2025,March,2025,Gokul,Closed,MIM,Y,2024,11,November,9/16/2025,292,>60
11/28/2024,11/28/2024,90450816,03:10,11:08,07:58,Foods,Food Supply Chain,"Food, Data","Food Supply chain, Data",Manage Allocation of Food Stock,SI,Delay in Foods Relex Overnight Batch impacting Foods Critical Flows,Relex,NA,See note,"Food Supplier orders, NDC allocations, RDC allocations, Frozen allocations, Food reporting",RC identified,70578,"Food supplier orders,  NDC allocations were delayed due to an issue with the Relex overnight batch.  A workaround was applied to generate the NDC allocations by 06:00. A contingency plan was invoked to mitigate impact to supplier orders, 28-day order plan, Foods Compliance reports, FLIC and OTS reports. Foods supplier orders were sent at 08:01. The Relex batch was recovered by 09:05,and the pending NDC allocations for the impacted 21 products were sent to Bradford.  The root cause was attributed to a known bug within Relex production environment which was fixed on 28/11 through a planned release.",,11/28/2024,,,,,"Yes, No",Yes,"Yes, Yes",Yes,External Dependencies,No, The root cause was attributed to a known bug within Relex production environment which was fixed on 28/11 through a planned release.,N/A,N/A,"FOATR-26670, FOATR-6136, FOATR-21975",2/20/2025,February,2025,Kavitha,Closed,MIM,Y,2024,11,November,9/16/2025,292,>60
11/24/2024,11/26/2024,90458691,01:20,11:00,57:40,GTS,Digital Workplace Services,GTS,Digital Workplace Services,Infrastructure,KI,Some colleagues unable to access or use Microsoft 365 services and features,Microsoft,NA,No Financial impact,Microsoft (Outlook and Teams),RC identified,70695,"Some colleagues are unable to access Exchange Online using Outlook Web and the Outlook desktop client. Some colleagues may also be unable to access or modify their calendar in Microsoft Teams. This would include loading calendar, viewing, creating/updating and joining meetings. The root cause is attributed to a change deployed by Microsoft and this was reverted to restore services on 27/11.",,11/25/2024,,,,,"No, No",No,"No, No",Yes,External Dependencies,Global change,The root cause is attributed to a change deployed by Microsoft and this was reverted to restore services on 27/11.,N/A,N/A,NA,11/27/2024,November,2024,Rehan,Closed,MIM,,2024,11,November,9/16/2025,296,>60
11/22/2024,11/22/2024,90437625,04:15,12:40,08:25,Foods,Food Supply Chain,"Food, Data","Food Supply chain, Data",Manage Allocation of Food Stock,MI,"Delay in Relex overnight batch impacting the availability of foods supplier orders, NDC allocations",Relex,NA,"£15,600.00","Food Supplier orders, NDC allocations, RDC allocations, Frozen allocations, Food reporting",RC identified,70614,"Alerting indicated a delay in the food supplier orders, RDC & NDC allocations due to an issue with the Relex overnight batch.  As a workaround, suppliers were advised to use the previous day's 28-day order plan, and contingency plan was applied to generate RDC, NDC & Frozen allocations, foods compliance & FLIC reporting were also impacted. Further issues were identified in the NDC allocations generated for cross-dock orders which were resent to Milton Keynes by 11:37 and Bradford by 12:08 impacting DC operations. The root cause was attributed to a combination of a human error during a deployment by the Relex devops (Accenture) and an infrastructure issue within the Relex SaaS platform.",,11/22/2024,,,,,"Yes, No",Yes,"Yes, Yes",NA,External Dependencies,CR,"On 21/11, as part of the Relex fortnightly release to include multiple bug fixes and new features under CRQ212574. In it, the Relex DevOps (Accenture) had incorrectly executed the product assortment step (human error), resulting in Env1 products being active in Env2. The issue stemmed from the assortment restriction job — which determines which lines are calculated in each environment — being set to Env 1 instead of Env2 for Env2 products.",CRQ212574,Human error,NA,1/29/2025,January,2025,Gokul,Closed,MIM,,2024,11,November,9/16/2025,298,>60
11/21/2024,21/11/2024,90435629,02:15,7:15,05:00,GTS,Enterprise Technology Platform, C&H and Intl,C&H and Intl Supply Chain,Network,KI,Castle Donington - Users unable to access internet/ applications through 'SALINA' network,Zscaler,NA,No Financial impact,Flow Room Operations,RC unknown,70806,"Castle Donnington colleagues were unable to access web based applications such as Power BI, BMC Helix (Remedy), etc via the SALINA wireless network between 02:00 & 07:15 on 21/11 and 21:40 (22/11) & 02:00 (23/11). As a workaround, colleagues were connected to the ""CHIEF"" wireless network to access the applications, there was no impact to DC operations. The root cause was attributed to an issue with the Zscaler traffic routing through the London 3 datacentre . Services were restored without any tech intervention on 21/11, however, a workaround was applied to route the traffic to London 5 (Primary) and Manchester 1 (Secondary) Data Centre to restore services on 22/11.",,21/11/2024,,,,,"No, Yes",No,"Yes , Yes",No,Root Cause Undetermined/Still Under Investigation,NA, The root cause was attributed to an issue with the Zscaler traffic routing through the London 3 datacentre ,NA,TBC,TBC,13/03/25,March,2025,Rehan,Closed,MIM,,2024,11,November,9/16/2025,299,>60
11/21/2024,11/21/2024,90436862,11:36,12:59,01:23,Customer Channels,Service Experience,Customer Channels,Selling Experience,Manage Payment & Content Customer.Com,KI,Customers unable to use PayPal to pay for orders,PayPal,NA,"£17,000.00",Customer experience,RC identified,70597,"Alerting identified that customers were unable to make payments using Paypal between 11:36 and 12:59 resulting in poor customer experience, however other payment methods were unaffected. Approx. 1,361 orders were anticipated to be impacted when compared with previous day's sale through Paypal. The root cause was attributed to a central issue at Paypal, which was resolved to restore the services.  We await root cause from Paypal.",,21/11/2024,,,,,"Yes,No",Yes,"Yes, Yes",Yes,External Dependencies,NA," The root cause was attributed to a central issue at Paypal, which was resolved to restore the services.",NA,NA,NA,12/12/2024,December,2024,Saloni,Closed,.Com SM,,2024,11,November,9/16/2025,299,>60
11/21/2024,11/22/2024,90435749,00:24,20:00,43:36,Customer Channels,Platform & Store Ops ,"Customer Channels, Food","Platform & Store Ops, Foods Supply Chain",Manage Allocation of Food Stock,MI,CSSM Food Stock data corruption impacting store operations & reporting,Customer,CSSM,Finance impact unavailable,Food Stock Data,RC identified,55360,"Store operations were impacted due to a data corruption in the CSSM food stock. Foods reporting, ASO allocations, Store Stock Tool, and Shelf Edge Tickets for 2 UPCs were impacted. Stores were blocked centrally from counting to avoid further stock discrepancies. The root cause was attributed to human error resulting in a stock value amendment of all products in the CSSM database with null values. The stock values for majority of the products were corrected followed by the CSSM database sync and store counting was unblocked by 12:52. 
On 22/11, the stock position for another 72k impacted UPCs were corrected in CSSM. A full reconciliation was performed within CSSM and no issues were reported by the stores over the weekend.",,21/11/2024,,,,,"Yes, No",Yes,"No,No",TBC,Operational Process Issues,NA,The root cause was attributed to a combination of a known issue within CSSM (producing the null values for certain UPC’s) and a manual error while addressing the null value scenario.,NA,NA,NA,,,,Pavithra,Open,MIM,Y,2024,11,November,9/16/2025,299,>60
11/19/2024,11/19/2024,90430167,06:35,8:22,01:47,GTS,Enterprise Technology Platform, C&H and Intl,C&H and Intl Supply Chain,Manage Pick of C&H stock,KI,WMS – JDA dispatcher application inaccessible at Outlet DC,TCS,Network,"£3,185.07",DC operations ,RC identified,70945,"Peterborough (Outlet) DC colleagues reported issues whilst accessing JDA Dispatcher application on their HHTs (Hand held terminals) and workstations from 06:00 impacting the picking and packing operations at site. This resulted in productivity loss of circa 219.66 hrs incurring a financial loss of £3,185.07. The root cause was attributed to a known bug on the existing FortiGate firewall version impacting the network connectivity between the HHT's and the WMS application. Services were restored by resetting the network tunnel by GXO IT at 08:22. ",,22/11/2024,,,,,"No, Yes",No,"Yes , Yes",No,Software Defects/Limitation,NA,The root cause was attributed to a known bug on the existing FortiGate firewall version impacting the network connectivity between the HHT's and the WMS application.,NA,NA,NA,,January,1900,Kavitha,Open,MIM,Y,2024,11,November,9/16/2025,301,>60
11/17/2024,11/18/2024,90428181,22:45,0:33,01:48,GTS,Enterprise Technology Platform, C&H and Intl,C&H and Intl Supply Chain,Manage Pick of C&H stock,SI,Ollerton DC - Label printing issues on 17/11,TCS,Linux/VMWare,No Financial impact,Carrier Label Printing,RC identified,70555,Ollerton DC colleagues were unable to print carrier labels between 22:45 and 00:33 impacting packing and despatch operations of 942 ecomm orders resulting in customer miss promises. The initial root cause has been attributed to an unexpected restart of Mule cluster servers. Services were restored by manually restarting the cluster services. Root cause investigations underway with Redhat.,,11/18/2024,,,,,"Yes,No",Yes,"Yes,No",No,Infrastructure or Platform Failures,NA,The root cause has been attributed to a hardware failure (storage controller fault) on one of the esxi hosts resulting in an unexpected reboot of the Ollerton Mule server hosted on a different esxi host within the common storage (VSAN) infrastructure. ,NA,NA,NA,3/3/2025,March,2025,Pavithra,Closed,MIM,Y,2024,11,November,9/16/2025,303,>60
11/15/2024,11/15/2024,90423246,17:00,20:40,03:40,C&H and Intl,C&H Commercial Trading,"C&H and Intl, Customer Channels","Selling Experience, C&H Commercial Trading",Manage Payment & Content Customer.Com,KI,Messages from PIM failing in Product Domain API,Customer,PDX,No Financial impact,Website,RC identified,70513,"Business colleagues reported messages failures between Product Information Management (PIM) system and Product Domain API. Around 270 products were unavailable for customers & 5.5k updates to existing products were not reflecting on ordering platforms. The initial root cause has been attributed to PDX in-memory change on 14/11 resulting in a null value on a mandatory field in the Product Domain API. Services were restored by reverting the change through a configuration rollback and application restarts by 20:40, 15/11. Root cause investigations underway.",,11/15/2024,,,,,"No, Yes",No,"No, No",Yes,Change Failure,CR,The issue is caused due to null values in the In-Memory database which is creating constraint errors while performing buyer approval. Customer STEP is running on 11.0MP4 which does not have capability of clearing null value from In-Memory Database.  PIM Product team and Stibo to understand the root cause of the issue. Stibo team gathered further information to continue the RCA.,CM-12496,TBC,NA,2/26/2025,February,2025,Gokul,Closed,.Com SM,Y,2024,11,November,9/16/2025,305,>60
11/14/2024,11/14/2024,90422088,01:30,2:17,00:47,C&H and Intl,C&H & Intl Supply Chain, C&H and Intl,C&H and Intl Supply Chain,Manage Pick & Allocation of Stock and Orders (Castle Donington),KI,Sorted issue impacting Donington packing operations,Sorted,NA,"£5,000.00",Carrier Label Printing in CD,RC identified,70705,"Through proactive monitoring, intermittent issues were identified with Sorted carrier label printing from 23:49 at Donington. Packing operations were impacted between 01:30 and 02:17 resulting in a capability loss of 13k singles at the site.  The root cause was attributed to a load balancer failure within Sorted infrastructure which was fixed by 02:17, 15/11.  Awaiting root cause and recovery details from Sorted.",,11/14/2024,,,,,,,,,External Dependencies,, The root cause was attributed to a load balancer failure within Sorted infrastructure which was fixed by 02:17,NA,NA,NA,11/20/2024,November,2024,Kavitha,Closed,MIM,NA - Not MIM managed incident,2024,11,November,9/16/2025,306,>60
11/14/2024,11/14/2024,90422069,19:51,20:31,00:40,GTS,Enterprise Technology Platform, C&H and Intl,C&H and Intl Supply Chain,Manage Pick of C&H stock,KI,Welham DC - WMS JDA Application unavailable,TCS,Linux/VMWare,"£7,100.00",WMS,RC identified,70522,"JDA Dispatcher application was unavailable at Welham Green DC impacting site operations between 19:51 and 20:31. This resulted in a capability loss of 10.1k singles and productivity loss of 426 hours incurring a financial impact of £7.1k.  The root cause was attributed to an unexpected restart of the WMS database server due to a hardware fault on the ESXi host. Services were restored by migrating the database server to a healthy host.  JDA Dispatcher application services were restarted at 23:20 to resolve the residual issues with boxed automation, YMS and HHT connectivity.  Further investigations underway with vendor HP with a plan to replace the faulty hardware on 18/11. ",,11/14/2024,,,,,"Yes, No",Yes,Yes,Yes,Infrastructure or Platform Failures,,The root cause was attributed to an unexpected restart of the WMS database server due to a hardware (CPU) fault on the ESXi host. ,NA,NA,NA,1/6/2025,January,2025,Saloni,Closed,MIM,,2024,11,November,9/16/2025,306,>60
11/14/2024,11/14/2024,90422175,20:45,22:26,01:41,GTS,Enterprise Technology Platform, C&H and Intl,C&H and Intl Supply Chain,Manage Pick of C&H stock,KI,Carrier label printing issues at Ollerton DC on 14/11,Customer,WMS,"£1,700.00",Carrier Label Printing,RC Identified,70520,"Ollerton DC colleagues were unable to print carrier labels between 20:45 and 22:26 impacting packing and despatch operations. This had resulted in a productivity loss of 104 hours incurring a financial impact of £1.7k, however, no impact to customer miss promises. The initial root cause has been attributed to a gradual increase in print jobs being piled up resulting in an overall breach of the print spooler capacity. Services were restored by clearing the piled up messages from the print queues. Root cause investigations underway.",,11/14/2024,,,,,"Yes, No",Yes,Yes,Yes,Operational Process Issues,No,The  root cause was attributed to an error made by the DC colleagues whilst replacing the lable film of the printer not closing the printer completely resulting in a gradual increase in print jobs being piled up eventually breaching the overall print spooler capacity.,NA,NA,NA,1/11/2025,January,2025,Saloni,Closed,MIM,,2024,11,November,9/16/2025,306,>60
11/14/2024,11/14/2024,90420458,07:19,7:40,00:21,GTS,Enterprise Integration, C&H and Intl,C&H and Intl Supply Chain,Manage Pick & Allocation of Stock and Orders (Castle Donington),KI,Issue at Middleware (MULE) impacting CD Site pack operations,Customer,Mule,"£1,000.00",Packing operations,RC unknown,70577,"Through proactive monitoring, issues were identified within Mule audit layer resulting in the demand notification response files to pile up in the ""out reject"" folder. Therefore, the Mule server was proactively restarted between 07:19 and 07:40 to restore services resulting in a packing capability loss of 3k singles. The initial root cause has been attributed to an increase in open files in the middleware queue breaching the threshold resulting in message pile ups. Testing is completed to increase the threshold in Mule with a plan to deploy on 19/11, this involves a site outage and requires planning. Root cause investigations underway. ",,11/14/2024,,,,,"No, Yes",Yes,Yes,No,Root Cause Undetermined/Still Under Investigation,No,"The root cause was attributed to messages pileup in middleware queue, due an increase in the number of open files in the outreject folder. The reason behind the increase in the number of open files remains inconclusive.",NA,NA,NA,1/16/2025,January,2025,Naveen,Closed,MIM,,2024,11,November,9/16/2025,306,>60
11/11/2024,11/11/2024,90414184,13:43,14:07,00:24,Customer Channels,Selling Experience,Customer Channels,Selling Experience,Manage Payment & Point of Sales in store,SI,Digital Cafe issue with blank screens on the kiosks,Counter Solutions,NA,"£2,980.00",Digital Café,RC identified,70620,"Store colleagues reported blank screens on the kiosks across the 17 Digital Cafes stores between 13:43 and 14:07. Customers were unable to place orders on the kiosks impacting ~252 transactions resulting in loss of sales (£2,980) and poor customer experience. As a workaround, ""hidden tills"" were used to place orders. The root cause was attributed to one of the API services (IIS service) within Counter Solutions going into an unresponsive state, the impacted API service was manually restarted to restore the services. A permanent fix was implemented on 11/11. ",,11/11/2024,,,,,"Yes,No",No,Yes,NA,External Dependencies,NA,"Root cause has been attributed to an error on one of a the critical API services, hosted on Scale-Out File Server (SOFS) infrastructure within Counter Solutions.",NA,NA,NA,11/20/2024,November,2024,Pavithra,Closed,MIM,,2024,11,November,9/16/2025,309,>60
11/8/2024,11/8/2024,90405381,11:20,13:26,02:06,Customer Channels,Service Experience, C&H and Intl,C&H and Intl Supply Chain,Manage Pick of C&H stock,KI,Delay in sending order fulfilment messages to Donington,Customer,Sterling,See note,CD OF Messages,RC unknown,70518,"At 11:20, alerting indicated a delay in sending the order fulfilment messages for some Donington orders impacting the site operations. Around 6.3k orders were impacted and proposition was moved for Click & Collect and Next Day Delivery orders to mitigate customer miss promises. The root cause was attributed to a connectivity issue between Control-M agent and the OF message processing jobs in Sterling resulting in the job status in ""Executing"" state. The impacted jobs were re-triggered to recover the services by 13:26. Further investigations underway.",PIR to be scheduled,11/8/2024,,,,,"Yes,No",Yes,No,NA,Root Cause Undetermined/Still Under Investigation,NA,"The root cause was attributed to a connectivity issue between Control-M agent and the OF message processing jobs in Sterling resulting in the job status in ""Executing"" state. The reason behind the connectivity issue could not be ascertained.",NA,NA,NA,11/21/2024,November,2024,Saloni,Closed,MIM,,2024,11,November,9/16/2025,312,>60
11/8/2024,11/8/2024,90405232,09:17,10:46,01:29,Customer Channels,Customer Engagement,Customer Channels,Selling Experience,Manage Payment & Content Customer.Com,SI,Sign in Pages not loading on Mobile Apps,Secure Auth,NA,"£4,840.00",Mobile App,RC identified,70565,"Customers were encountering errors whilst logging in on both iOS and Android mobile apps from 09:17, however, customers already logged in were unaffected. Approx. 4.4k errors were observed resulting in poor customer experience. The root cause was attributed to a change within the vendor Secure Auth environment. Services were restored after Secure Auth had reverted the change at 10:46.",PIR to be scheduled,11/8/2024,,,,,"No, ",No,No,,External Dependencies,NA,The root cause was attributed to a change within the vendor Secure Auth environment.,NA,NA,NA,1/16/2025,January,2025,Kavitha,Closed,MIM,,2024,11,November,9/16/2025,312,>60
11/8/2024,11/8/2024,90404927,08:45,10:00,01:15,GTS,Enterprise Technology Platform,Customer Channels,Platform and store ops,Manage Allocation of Food Stock,SI,Store colleagues unable to access Foods CSSM application functionalities,Customer,CSSM,See note,Foods CSSM,RC unknown,70617,"Store colleagues reported issues whilst accessing Foods CSSM applications impacting  their ability to view store stock information (Foods SST app) between 08:45 and 10:00. Also, Accuracy checker, Gap scan, Top up and Stock scan functionalities were unavailable impacting store operations. The initial root cause has been attributed to a CPU spike on the CSSM reporting database server. The SST application PODs were restarted to restore services. Root cause investigations underway.",PIR scheduled on 12/11,11/8/2024,,,,,"Yes, Yes",Yes,"No, No",No,Root Cause Undetermined/Still Under Investigation,NA,"Microsoft updated that they could not find any abnormalities reported and on analyzing the system health extended events, they could see a session ID which executes some select query has consumed 95% of CPU for 250 Milliseconds, however it has not been logged and any other detail about the query, so we cannot determine what was the query, who triggered it and from where it was coming from, other than this they could not find any other abnormalities reported. So, if the issue reoccurs then during the issue time, MS has suggested to execute a SQL_LogScout tool to generate further logs to investigate deeper on the issue",NA,NA,NA,12/20/2024,December,2024,Gokul,Closed,MIM,,2024,11,November,9/16/2025,312,>60
11/8/2024,11/8/2024,DN ref: 126154285,08:31,8:49,00:18,Customer Channels,Selling Experience,Customer Channels,Selling Experience,Manage Payment & Point of Sales in store,KI,Orders not being placed on the kiosks across all Digital Cafes,Counter Solutions,NA,£562.00,Digital Café,RC identified,70620,"Store colleagues reported that orders were not being placed on the kiosks across the 16 Digital Cafes between 08:31 and 08:49 resulting in poor customer experience. As a workaround, stores were advised to man the ""hidden tills"" causing inconvenience to store colleagues. The root cause was attributed to an issue within QSR (partner of Vendor counter solutions) which was resolved to restore services. Awaiting root cause analysis from QSR.",PIR to be scheduled,11/8/2024,,,,,"No,No",No,Yes,NA,External Dependencies,NA, The root cause was attributed to an infrastructural issue within QSR (partner of  Vendor counter solutions) which was resolved to restore services.,NA,NA,NA,12/20/2024,December,2024,Pavithra,Closed,MIM,,2024,11,November,9/16/2025,312,>60
