Business Platform,Product portfolio,Incident,Action Open Date,Title,Action,Action categorization,Action Owner,Action updates,DevOps / Product Team,Tactical/Strategic,ETA ,Action closed date,Key Actions,Status,Risk ID ,Backlog ID ,Back log Status,Problem Manager,Current day,Ageing,Aging Bucket,Action Closed month,Action closed year
Foods,Foods Supply Chain,90610998,11/03/25,Inflated Allocations for Thatcham (Foods) RDC impacting stock deliveries to stores,"There was a gap in communicating the issue on 17/02 to the wider business stakeholders. Therefore, a defined communication process needs to be established through the service leads to ensure stakeholders are informed in cases where MIM is not involved or when the issue impacts a single store, even if the overall impact is minimal.",Business & IT Communication,Lisy Eucharista/ Valliammai Ramasamy,"15/04: For future incidents involving limited number of stores which does not warrant MIM involvement, it has been agreed with Retail to provide regular updates in the Retail & Foods Service Connect until the issue is resolved.
01/04 - Lisy to speak with Dinesh.
The service leads, in collaboration with the service management team, will identify a structured approach for communication. This will require product teams to inform service leads of any issues where MIM is not involved, so that stakeholders are kept updated at regular intervals throughout the resolution and recovery process.",Food/stores,,NA,15/04/25,,Closed,,,,Saloni,16/09/25,#REF!,#REF!,#REF!,#REF!
Foods,Foods Supply Chain,90610998,11/03/25,Inflated Allocations for Thatcham (Foods) RDC impacting stock deliveries to stores,"Analyze the behavior in RELEX to ensure it is not accepting negative stock-in-transit values, which have resulted in over-allocations.",Permanent Fix,Matt White,"In Quantum, negative stock-in-transit values were adjusted to zero, ensuring that appropriate allocations were generated for the stores. An EPIC has been raised with RELX, and they are actively working to identify why negative values are being considered and to determine a potential solution. FOATR-27334 is created for this",Food,,21/03/25,01/04/25,,closed,,,,Saloni,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Platform & Store Ops ,90610998,11/03/25,Inflated Allocations for Thatcham (Foods) RDC impacting stock deliveries to stores,"Assess the feasibility of adopting an alternative approach in CSSM to recover the stock position, rather than nullifying adjustments.",Solution & Recovery,"Nancy Ledsome, Akash Arjunan","Currently, positive stock adjustments are nullified by reversing them through the creation of additional events with random data to correct the stock position. The teams are now exploring a more efficient and technically optimized approach, while also evaluating the cascading impact on other downstream systems.",CSSM ,,21/03/25,,,Open,,,,Saloni,16/09/25,#REF!,#REF!,#REF!,#REF!
Foods,Foods Supply Chain,90610998,11/03/25,Inflated Allocations for Thatcham (Foods) RDC impacting stock deliveries to stores,Advise GIST to follow the change management process to ensure Customer stakeholders are informed of any capability or smoke tests for new functionalities.,Issue handling/Management ,James Sherman,"James from GIST has confirmed that Customer will be notified of any changes in their environment, including smoke tests. Additionally, an informational change will be recorded in the MNS BMC Helix system for tracking.",GIST,,NA,11/03/25,,Closed,,,,Saloni,16/09/25,#REF!,#REF!,#REF!,#REF!
Foods,Foods Supply Chain,90610998,11/03/25,Inflated Allocations for Thatcham (Foods) RDC impacting stock deliveries to stores,Assess the overall observability within GIST to identify significant volumes of stock adjustment messages or inflated allocations at the store level.,Problem identification & Alerting,James Sherman,"15/04 - In this incident, the smoke test performed by GIST was not communicated to Customer which had actually caused the inflated order volume for stores. However, technically there is no scope of configuring an alert within GIST based on the amount of increased volume of stock adjustment messages as these are not supposed to be sent to stores. Going forward, communication for any smoke tests will be provided to Customer and the DWS change will not be attempted in future which eliminates the scope of issue recurrence. In addition, there are predefined threshold configured within GIST to identify a spike in volume of stock adjustment messages. 
We are currently working with GIST to analyze their monitoring mechanisms and identify areas for improvement, aiming to enhance proactive detection of such issues in the future",GIST,,NA,15/04/25,,Closed,,,,Saloni,16/09/25,#REF!,#REF!,#REF!,#REF!
GTS,Digital Workplace Services,90633315,05/03/25,Foods Buyers were unable to access RDA (Reference Data Approval) application,Duane’s team is developing an automation system to detect when a primary owner of a Y account is disabled.  The system will automatically assign the secondary owner and maintain a Distribution List (DL) for tracking.  Estimated Completion :A few months.,Problem avoidance,Duane Bergh,"09/04 - This action will be further tracked via a backlog - https://jira-marksandspencer-app.atlassian.net/jira/software/projects/WPS/boards/529
05/03 - Duane to provide some form of log number so that this can be closed fro the PIR and tracked by the product team.",Product owner - AD,,NA,09/04/24,,Closed,,https://jira-marksandspencer-app.atlassian.net/jira/software/projects/WPS/boards/529,,Pavithra,16/09/25,#REF!,#REF!,#REF!,#REF!
GTS,Digital Workplace Services,90633315,05/03/25,Foods Buyers were unable to access RDA (Reference Data Approval) application,"Leads will be notified to ensure that Y account disablement is only approved by:  
Account owners and their Customer counterpart owners 
",Problem avoidance,"Kaleeswaran, PushpaSubramaniyan, Sushmitha",The AD team’s approval process will be revised to ensure that only team managers can authorise account disablement tasks. ,DWS Team (As part of Red Audit team),,NA,05/03/25,,Closed,,,,Pavithra,16/09/25,#REF!,#REF!,#REF!,#REF!
Foods,Foods Supply Chain,90633315,05/03/25,Foods Buyers were unable to access RDA (Reference Data Approval) application,Obtain or create a formal design for the Food Buyers Application and ensure a dedicated support team is in place who understands the system’s requirements and the necessary accounts. ,Problem identification & Alerting,Sasirekha (Foods),"15/04: Pilot went live on for CRD on 8th April. Further rollouts are being planned in May.
09/04 - Sasi rekha and Uma from the team are working on enhancing the document . ETA: 15/04
01/04: RDA is being replaced by CRD and the service design document is being done for this.  Sasirekha will check again for the RDA documemt",Foods,,18/04/25,,,Open,,,,Pavithra,16/09/25,#REF!,#REF!,#REF!,#REF!
Group Platforms,HR,90622655,03/03/25,Issues with external recruitment page on the Customer career site,Revisit the post checks procedures/timings to verify the features after a patching activity to ensure enough buffer time for the product teams to resolve an issue to avoid business impact,Problem avoidance,Mudassar Kazmi,"19/03: Mudassar has agreed with the offshore team to perform the basic sanity testing immediately after the release around 1 AM and complete the rest of the functional testing with business and product owners at 8 AM.
03/03: Patch was released by 21:00, however the sanity testing was performed by 08:00 next day only. Therefore, we have agreed to perform the post implementation checks after an activity by securing relevant access to test the functionality to allow enough time for triage if an issue occurs.",Service Lead,,NA,19/03/25,,Closed,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Group Platforms,HR,90622655,03/03/25,Issues with external recruitment page on the Customer career site,"Raise a risk to highlight the testing inefficiencies, due to the difference in configuration between the production and SIT environment across all the third party connections",Problem identification & Alerting,Mudassar Kazmi,"19/03: Mudassar has created the risk 1871406093 and agreed with the product teams to discuss on next step for creating third party connections.
03/03: SIT environment didn't have the third party connections (thirty three), due to which the issue was not identified in the testing phase.",Service Lead,,NA,19/03/25,,Closed,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Group Platforms,HR,90622655,03/03/25,Issues with external recruitment page on the Customer career site,Record the 24/7 support contacts across all the 3rd party vendors including the Customer managed vendors,Supplier and support involvement,Mudassar Kazmi,"14/04: Call with Alex has been postponed to 17/04.
31/03: Mudassar has gathered the details for all the 3rd parties vendors. Alex and Kirsten are out of office until 07/04
28/03: Call was postponed due to Oracle breach issue.
19/03: Mudassar has gathered the 24/7 contact details for most of the 3rd parties vendors, has a call with the product owners by 27th March
03/03: Initially, there were challenges in involving the vendor ThirtyThree in the call. Since it was a Saturday, the product teams were unable to reach the right contact.",Service Lead,,18/04/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Group Platforms,HR,90622655,03/03/25,Issues with external recruitment page on the Customer career site,"Review the DL's for the communication, if required separate DLs to be created with respect to impacted modules.",Business & IT Communication,Mudassar Kazmi,"14/04: Call with Alex has been postponed to 17/04.
31/03: Mudassar has gathered all the business contacts for required for communication across all modules. Alex and Kirsten are out of office until 07/04
28/03: Call was postponed due to Oracle breach issue.
19/03: Mudassar is working with product team to identify the required DL's, has a call with the product owners by 27th March
03/03: Currently there are no separate DL's for individual HR modules and comms were sent to individual email addresses during the issue. Service lead will be collating the individual details to be incorporated into a DL for future comms.",Service Lead,,18/04/25,,,Open,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
Group Platforms,HR,90622655,03/03/25,Issues with external recruitment page on the Customer career site,Review the release notes thoroughly and to involve vendor for any clarifications before the deployment,Problem avoidance,Mudassar Kazmi,"19/03: Mudassar has agreed with the team to ensure they review the release notes thoroughly.
03/03: As part of the Oracle 25A patch, a URL structure change introduced by Oracle which resulted in issues while redirecting to the Thirty Three connection. Since, no customizations were made to the Oracle product, the product team overlooked the relevant release notes",Service Lead,,NA,18/03/25,,Closed,,,,Gokul,16/09/25,#REF!,#REF!,#REF!,#REF!
 C&H and Intl,C&H and Intl Supply Chain,90647077,13/03/25,Carrier label printing failures at Ollerton DC impacting packing & despatch operations,Implementation of Dynatrace for enhanced log capturing in Mule Engine.,Problem Identification & Alerting,"Pappusamy, Sivasubrmani",This must be implemented to ensure that we have necessary logs and artifacts to determine the Actual Root cause for the Mule Engine Going to hung State,Integration Services,,NA,08/03/25,,Closed,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
 C&H and Intl,C&H and Intl Supply Chain,90647077,13/03/25,Carrier label printing failures at Ollerton DC impacting packing & despatch operations,Mule Alert refresher training for team members along with SOP creation that contains detailed information on Alert Impact and recovery steps.,Problem Avoidance,"Pappusamy, Sivasubrmani",Reoccurring session for training team members on Alert handling has been scheduled and this is a continuous effort to ensure the tickets are addressed appropriately,Integration Services,,NA,18/03/25,,Closed,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
 C&H and Intl,C&H and Intl Supply Chain,90647077,13/03/25,Carrier label printing failures at Ollerton DC impacting packing & despatch operations,Process Gap - where the team members are not aware of the escalation process and Support model must be addressed.,Problem Avoidance,"Davies, Mark",Mark Davies has explained and shared the Service design document to Ops to follow the escalation process.,Service Lead,,NA,08/04/25,,closed,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
 C&H and Intl,C&H and Intl Supply Chain,90647077,13/03/25,Carrier label printing failures at Ollerton DC impacting packing & despatch operations,"Upgrading to Mule 4.6 is proposed as a fix and this already being the pipeline, the team will also have to confirm if they are going to fix issue in the existing version or the version post the upgrade using the Dynatrace.",Permanent fix,"Pappusamy, Sivasubrmani","08/04 - This activity is being performed via a change - CRQ000000222082 and it is expected to be completed by End of April. Since teams are already on it, executing the CR, this action is being closed.
03/25-It was confirmed that Implementation of script to automatically restart the Mule Engine when gone to hung state will be part of the deployment along with other fixes including auto restart, G1 NGEN memory increase and OJDBC Driver upgrade.",Integration Services,,01/05/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
 C&H and Intl,C&H and Intl Supply Chain,90647077,13/03/25,Carrier label printing failures at Ollerton DC impacting packing & despatch operations,"Feasibility to Leveridge WMS health check emails for better monitoring by tools or manually, this needs to be checked and implemented.",Problem Identification & Alerting,"Babu, Mohan","	
1. Queue threshold alert enabled already, 2. Alert will be generated if any error in run task (printing instruction)
These are the maximum check can be enabled in healthchecks. The issue on that day was, run task was completing success, no queue depth threshold, but only label printing didnot happen. Mule is having alerting for their jvm task hung error which they need to act upon rightly.13-03-25: They are Hourly Health check alerts; The team is working to check the feasibility to Reduce the Health check alert time Span. and increase the effectiveness and utilization of the alert they will also explore the option for integration with existing monitoring systems.",WMS,,NA,08/04/25,,Closed,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90643228,03/03/25,Drop in products on the Customer Ireland website,"Conduct a review and cleanup of all categories marked as ""off-sale""",Permanent fix,"Busines Content Team Khanna, Himanshu to identify the owner","The team is trying to fix the issue, if they confirm the fix cannot be identified and addressed then a risk will be raised.",.com,,25/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90643228,03/03/25,Drop in products on the Customer Ireland website,Investigate the current alerting and propose next steps. Setup a meeting with the relevant teams.,Problem Identification & Alerting,"Khalid, HishamKasmani, Aadil & Product Teams",The teams are yet to share the findings after the meeting,.com,,25/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90643228,03/03/25,Drop in products on the Customer Ireland website,Implement monitoring to detect drops in category-product mappings based on outcome of action 2,Problem Identification & Alerting,Owners to be identified from action 2,Owner yet to be identified,.com,,25/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90643228,03/03/25,Drop in products on the Customer Ireland website,Define SOPs: Establish clear guidelines for handling data filtering requests. for handling filtering requests without impacting live products,Problem Avoidance,"SHIKOTARA, JIGNESH & All Data handling product teams","Jignesh: Data handling is managed by PIM only and mentioned SOP following.
1). For any data problem with reference to live categories, connect to the PIM team via DL ""GRP - DL-TCS-MnS.com STEP Support"".
2). Category re-triggered from PIM after required correction, Navigation doing post verification.
-> To avoid such problems, the content team needs to make sure while product to category mapping that category status should not be off-sale/deleted.
-> Should commence cleanup and verification activity at PIM end to avoid such mistakes.",.com,,25/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90643228,03/03/25,Drop in products on the Customer Ireland website,Appropriate testing and impact analysis before implementing changes,Problem Avoidance,"SHIKOTARA, JIGNESH & All Data handling product teams","Jignesh: Data handling is managed by PIM only and mentioned SOP following.
1). For any data problem with reference to live categories, connect to the PIM team via DL ""GRP - DL-TCS-MnS.com STEP Support"".
2). Category re-triggered from PIM after required correction, Navigation doing post verification.
-> To avoid such problems, the content team needs to make sure while product to category mapping that category status should not be off-sale/deleted.
-> Should commence cleanup and verification activity at PIM end to avoid such mistakes.",.com,,25/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90643228,03/03/25,Drop in products on the Customer Ireland website,Change control and clear approvals before implementing changes.,Problem Avoidance,"SHIKOTARA, JIGNESH & All product teams","Jignesh:-> As per standard practise we are following defined procedures only, like: Implementation -> PR Review - CAB Approval -> Deployment -> Post Verification.",.com,,25/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90643228,03/03/25,Drop in products on the Customer Ireland website,Map data flow: create a visual representation of data pipeline for better troubleshooting.,Solution & Recovery,"Khalid, Hisham; Kasmani, Aadil & Product Teams",,.com,,25/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
C&H and Intl ,C&H and Intl Supply Chain,90633159,07/03/25,Carrier label printing failure at Castle Donington impacting packing operations ,Check that all existing carrier ranges have the correct names and will be picked up by our monitor.,Problem Avoidance,Sorted,Completed,Sorted,,NA,07/03/25,,Closed,,,,Rehan,16/09/25,#REF!,#REF!,#REF!,#REF!
C&H and Intl ,C&H and Intl Supply Chain,90633159,07/03/25,Carrier label printing failure at Castle Donington impacting packing operations ,Review the other carriers that are used and check if the range can potentially run out for these other carriers?,Problem Avoidance,Sorted,Completed.  The other carrier where the range has to manually set up is Anpost.  Other carriers have cyclical range creation and these are ranges are created in an automated way.,Sorted,,NA,07/03/25,,Closed,,,,Rehan,16/09/25,#REF!,#REF!,#REF!,#REF!
C&H and Intl ,C&H and Intl Supply Chain,90633159,07/03/25,Carrier label printing failure at Castle Donington impacting packing operations ,Have Sorted got alerting for the other carriers if the range runs low?,Problem Avoidance,Sorted,"Completed.  Range depletion alerting is in place for Anpost and the naming convention checked to ensure t meets the correct format,",Sorted,,NA,07/03/25,,Closed,,,,Rehan,16/09/25,#REF!,#REF!,#REF!,#REF!
C&H and Intl ,C&H and Intl Supply Chain,90633159,07/03/25,Carrier label printing failure at Castle Donington impacting packing operations ,"If the issue happens again with any carrier, is there an option to switch to the next carrier, even if the price is higher?  What process needs to be put in place and how?",Problem Avoidance,Jackie Martin,"Update: 10/04: There is an update as we had a discussion between Customer and Sorted about a playbook for the Sorted Support team. Basically, the initiative is agreed and we just need to get the process documented. Let me write an email so that you and Donington have a statement of the agreed plan of action.

Tom Prince advises this is possible.  We don't have Customer carrier team support team out of hours after 2200. Therefore a SOP be written for Sort out of hours support so they can switch carriers. Sorted and Customer carrier team to agree.",Product Manager,,17/04/25,,,Open,,,,Rehan,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90632370,04/03/25,Drop in orders on the Customer website,Follow up RCA and preventative measures with Secure Auth,Root Cause,Priyabrata Sahu,"Updated on the SA case, awaiting their response. Also requested product team to follow up with SA on their weekly catch up - https://support.secureauth.com/hc/en-us/requests/152167?page=1 4th March. Root cause shared. COMPLETE",.com,06/03/25,NA,06/03/25,Balaji,Closed,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90632370,04/03/25,Drop in orders on the Customer website,Awareness of 'no change' days,Problem Avoidance,Simon Attard,"Although SA is a SaaS provider, we will share details of business 'no change' days . Contractually they do not have to honour this but will see if they will try and take account of them. Simon will discuss this with them in more detail",.com,,25/04/25,,,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90633124,04/03/25,Multiple order management services encountering Intermittent timeout errors ,Firewall Rule to allow URL category-based traffic resolution,Permanent Fix,Fastin Xavier,"Completed, Firewall rule was updated to use URL category for resolving the endpoints.",.com,,25/04/25,,Balaji,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90633124,04/03/25,Multiple order management services encountering Intermittent timeout errors ,Firewall rule updates in DR,Permanent Fix,"Fastin Xavier, Abhishek Kumar",Planned,.com,,25/04/25,,Balaji,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90633124,04/03/25,Multiple order management services encountering Intermittent timeout errors ,APM dashboard to track OMS outbound calls,Problem identification & Alerting,Vipin Kumar,"Requires Dynatrace APM to be set up.  Work will start this quarter, but full setup might not be in place until Q1.",.com,30/05/25,30/05/25,,Balaji,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90633124,04/03/25,Multiple order management services encountering Intermittent timeout errors ,Alerts for error rate increase for OMS outbound API calls,Problem identification & Alerting,Vipin Kumar,Dependency on action 4,.com,30/05/25,30/05/25,,Balaji,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90633124,04/03/25,Multiple order management services encountering Intermittent timeout errors ,Tactical alert based on error logs in OMS,Problem identification & Alerting,Vipin Kumar,Done,.com,28/02/25,NA,07/03/25,Balaji,Closed,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90633124,04/03/25,Multiple order management services encountering Intermittent timeout errors ,Socket timeout error still present in OMS logs,Problem identification & Alerting,Vipin Kumar,"Check and confirm that the underlying firewall issue is 100% resolved, as some errors are still visible in logs. 
Vipin updated that this is unrelated.  Action completed.",.com,04/05/25,NA,07/03/25,Balaji,Closed,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90633124,04/03/25,Multiple order management services encountering Intermittent timeout errors ,Analyse future Apigee release notes and notify impacted teams,Problem avoidance,"Saurabh, Mani",Future action to be taken up based on Apigee change comms,.com,,25/04/25,,Balaji,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90633124,04/03/25,Multiple order management services encountering Intermittent timeout errors ,CMWA observability,Problem identification & Alerting,"Rotheram , EmmaPaul, Tarun",Completed 07/03 - Alerts configured,.com,07/03/25,NA,07/03/25,Balaji,Closed,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90633124,04/03/25,Multiple order management services encountering Intermittent timeout errors ,Add logging and Dynatrace transaction ID propagation in Apigee in the AS and OMS proxies and Akamai,Problem identification & Alerting,"Paul, TarunKumar, Vipin",This will speed up problem identification,.com,,25/04/25,,Balaji,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90633124,04/03/25,Multiple order management services encountering Intermittent timeout errors ,Add logging and Dynatrace transaction ID propagation in Apigee in the Carrier Gateway proxy and Akamai,Solution & Recovery,"Mehta, Vijesh",,.com,,25/04/25,,Balaji,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90633124,04/03/25,Multiple order management services encountering Intermittent timeout errors ,Review fallback solution in OMS when AS is unavailable for both Item Capping & C&H. Need to have a view of current day stock at least. ,Problem avoidance,"Kumar, VipinXavier, FastinMandal, MrinmoyPaul, TarunLincy, Rajula","Fall back solution to prevent the OOS and false calendar experience
<< UPDATE (Vipin) - Had a call within Product team and a design is agreed for fall back. Development Task will be raised and taken to PM by Vasupalli, Raja Chaitanya>>",.com,,25/04/25,,Balaji,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Customer Channels,Selling Experience,90633124,04/03/25,Multiple order management services encountering Intermittent timeout errors ,"Review all outbound API calls from OMS Cluster (OMS & API Namespace) and associated firewall rules (and make sure they are URL based, not IP based)",Problem avoidance,"Kumar, VipinXavier, FastinMandal, MrinmoyPaul, TarunLincy, Rajula",Collaboration between teams will be held to decide the plan of action and dates will be updated.,.com,,25/04/25,,Balaji,Open,,,,Balaji,16/09/25,#REF!,#REF!,#REF!,#REF!
Foods,Foods Supply Chain,90624297,04/03/25,"Delay in processing Relex batch impacting NDC Allocations, Foods Supplier orders","The initial impact assessment did not account for the impact on reports such as OTS, Flic, and others. It is necessary to revise the contingency process and formally document the requirement to highlight the impact on these reports",Impact analysis,Tamilenbakumar,"15/04: Tamil confirmed that the SOP has been updated with reporting impact.
 01/04: Continuing to work on SOPs
19/03 - Tamil says that the SOP's will be amending to consider reporting impact by 31/03",Relex,,NA,15/04/25,,Closed,,,,Naveen,16/09/25,#REF!,#REF!,#REF!,#REF!
Foods,Foods Supply Chain,90624297,04/03/25,"Delay in processing Relex batch impacting NDC Allocations, Foods Supplier orders","In the PIR Relex advised that they realised the impact of the issue quite late in the day after the issue started, which resulted in a delay of communicating possible impacts to Customer.  Relex are working on playbooks with different scenarios including prioritisation of actions to include communication.",Supplier and support involvement,Michael Shotbolt(Relex),"19/03:  The root issue was traced to a network  switch where one port/cable combination experienced a partial failure, leading to increased error rates. While Relex is designed to automatically failover in cases of complete cable failure (an industry-standard practice already in use at RELEX), this partial failure did not meet the criteria to trigger automatic failover. As a result, some network traffic was disrupted. Relex has implemented enhancements to monitoring as recommended by their vendor which ensures quick detection and have quick response to similar issues in future without introducing unnecessary complexity or risk to network.",Relex,,NA,20/03/25,,Closed,,,,Naveen,16/09/25,#REF!,#REF!,#REF!,#REF!
Foods,Foods Supply Chain,90624297,04/03/25,"Delay in processing Relex batch impacting NDC Allocations, Foods Supplier orders","It is essential that when we initiate the batch process again, we commence from the very beginning rather than from any subsequent point. Failing to do so may result in incomplete data being displayed in the user interface, along with calculations that have not been executed. Ensure that the Standard Operating Procedure (SOP) is updated accordingly.",Solution & Recovery,Gagandeep Singh,"01/04: gagan is saying that it is not possible to restart the batch from the beginning without incurring impact.  Best practice from Relex is to start from point of failure, the SOP has been updated and engineers have recorded the learnings.
19/03 - Ankush from Relex Support will follow up and get an update",Relex,,26/03/25,01/04/25,,closed,,,,Naveen,16/09/25,#REF!,#REF!,#REF!,#REF!
Foods,Foods Supply Chain,90624297,04/03/25,"Delay in processing Relex batch impacting NDC Allocations, Foods Supplier orders","Update the SOP with the two step process to cancel the nightly run.  One of the steps is to cancel the Connect job.
Relex should cancel the connect job alongside the planned jobs in the Nightly run otherwise the nightly job doesn't stop immediately, and we don't know at which point the data stops to be able to perform a better clean up job.",Solution & Recovery,Gagandeep Singh,"01/04:  This has now been updated in the SOP.
19/03 - Ankush from Relex Support will follow up and get an update",Relex,,26/03/25,01/04/25,,closed,,,,Naveen,16/09/25,#REF!,#REF!,#REF!,#REF!
Foods,Foods Supply Chain,90527201,21/01/25,Over Allocations in Relex impacting Foods NDC operations,Explore possibilities to have a timely decision in invoking contingency by setting a threshold,Solution & Recovery,Matt White,"01/04:  An agreement has been proposed and agreed upon.  We have added a ten minute wait time to allow the analysis to take place by Relex.  Relex also have the pre-approved conditions.
19/03: Agreement for NDC alloc to be done and Mat will follow up with Dan to provide update 
04/03 : Agreement for NDC alloc to be done and Mat will follow up with Dan to provide update 
20/02: Initial session happened on agreeing to contingency and required check points. Further follow-ups to be done with Matt
Update 04/02: We have agreed on checkpints at which we would invoke contingency.  Matt is putting together a proposal to the business.  
As Product teams are dependent on business to take a decision to invoke contingency, Matt to have a discussion with business to define thresholds that will help Product teams and business to take a decision to invoke contingency in a timely manner.",Business ops,,NA,01/04/25,,closed,,,,Naveen,16/09/25,#REF!,#REF!,#REF!,#REF!
Foods,Foods Supply Chain,90527201,21/01/25,Over Allocations in Relex impacting Foods NDC operations,Explore options to have additional alerting to detect any huge variance in data updates made by business colleagues in Relex UI,Problem identification & Alerting,Matt White,"EPIC ID : FOATR-21976. Lisy is in dicussion with product manager to prioritize this delivery
20/02 - Lisy to share the EPIC ID with Naveen. Also Lisy to discuss with Magda to prioritize this as this issue is a recurring one
04/02: This is a long term action with multiple elements.  EPIC ID/JIRA required - Lisy to get from Magda, then we can close.
Although alerting is already in place within RELEX to identify variances in allocations and decide on contingency planning, the teams are further exploring options to configure an alert within the RELEX UI to detect any errors made during manual updates by business colleagues.",Relex,,NA,20/02/25,,Closed,,,,Naveen,16/09/25,#REF!,#REF!,#REF!,#REF!
Foods,Foods Supply Chain,90527201,21/01/25,Over Allocations in Relex impacting Foods NDC operations,Explore options to have additional validations in Relex UI,Problem avoidance,Relex,"05/02: FOATR-16449 & FOATR-21976 epics / features for improving the data validations to avoid operation issues and UX/UI - PIR improvments
04/02: This is a long term action with multiple elements.  EPIC ID/JIRA required - Lisy to get from Magda, then we can close.
As business make changes in the Relex UI and there are no additional validations done by business or Relex , Relex to introduce a process to perform additional validations by Relex/business to avoid allocation issues",Relex,,NA,05/02/25,,Closed,,,,Naveen,16/09/25,#REF!,#REF!,#REF!,#REF!
Foods,Foods Supply Chain,90527201,21/01/25,Over Allocations in Relex impacting Foods NDC operations,Explore options to establish a process/SOP while updating the safety stock inputs in Relex UI[A mass update done by Supply chain colleagues for Ambient products which increased the safety stock inputs],Problem avoidance,John Christopher,"05/02: FOATR-16449 & FOATR-21976 epics / feautes for improving the data validations to avoid operation issues and UX/UI - PIR improvments
04/02: This is a long term action with multiple elements.  EPIC ID/JIRA required - Lisy to get from Magda, then we can close.
A training/ workshop will be conducted by the business teams to do future updates in a controlled manner. 
SOP is documented as well.",Business ops,,NA,05/02/25,,Closed,,,,Naveen,16/09/25,#REF!,#REF!,#REF!,#REF!
Foods,Foods Supply Chain,90503293,16/01/25,Relex performance issue impacting the Overnight critical batches,"During the major incident, there were unexpected delays in receiving technical support from Relex. To address this , review and streamline the support and engagement process from Relex during major incidents to ensure swift recovery and timely updates. ",Supplier and support involvement,Matt White,"04/03 - There is a discussion planned in Apr on mitigating the risk of one Relex single point of failure
20/02 - Matt unavailable , Lisy to follow-up with him
04/02: Matt is in talks with Relex about their support process and finding wider SME's - or provide more control to Customer.
30/01 - Emailed Matt to get an update from him
24/01 - Contacted Matt via teams to get an update from him. No response yet
16/01 Relex Engineer was unable to provide the expected L2 technical support during the call. Relex to review the engagement during a major incident and agree on a process to provide resources with technical expertise.
This action will be led by Matt in collaboration with Rich to ensure appropriate support is in place, improving RELX’s engagement during future incidents.",Relex,,29/04/25,,,Open,,,,Naveen,16/09/25,#REF!,#REF!,#REF!,#REF!
